Vendedor,ID,Title,Price,Currency,Category URL,Details URL,partner-name,Date,timestamp,image_url,breadcumb
600,5066337,Shawarma al plato ,360.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,TOP VENTAS
600,5066989,"Combo Buenos Aires, 2 fatay +  bebida o cerveza artesanal ",195.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Combos sugeridos de Tarabish
600,5066979,"Combo Armenia, falafel, papas rústicas, bebida",320.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Combos sugeridos de Tarabish
600,5066352,Combo Beirut shawarma clásico + papas rústicas + bebida,350.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Combos sugeridos de Tarabish
600,12235706,Shawarma clásico,230.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,24237516,Shawarma trípoli,240.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,12235816,Shawarma Tarabish,250.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,12235800,Shawarma Palermitano,250.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,12235804,Shawarma Mediterráneo,260.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,12235806,Shawarma oriental,250.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,24237764,Shawarma Beirut,260.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,24237780,Shawarma Líbano,260.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Shawarmas especiales
600,5066203,Soyuk ,75.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Fataier 
600,5066181,Fataier de carne ,70.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Fataier 
600,5066185,Fataier de pollo ,70.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Fataier 
600,5066189,Fataier de queso ,70.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Fataier 
600,5066191,Fataier de verdura ,70.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Fataier 
600,24252987,Sfiha abierta de carne,70.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Fataier 
600,5066208,Warak enab (uds.),145.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos libaneses 
600,5066212,Hummus XL (2 personas),160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos libaneses 
600,5066219,Mutabal,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos libaneses 
600,5066315,Babaghanush ,160.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos libaneses 
600,24254256,Crema de remolacha (para 2 personas),150.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos libaneses 
600,5066331,Falafel al plato ,320.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos calientes
600,5066337,Shawarma al plato ,360.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Platos calientes
600,5067315,Ensalada de tabuli (Porción large) ,100.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Ensaladas
600,5067464,Maamul de nuez,36.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Postres 
600,5067470,Maamul de coco,36.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Postres 
600,5067460,Baklawa ,80.0,ARS,Bue/tarabish/600/Tarabish/RESTAURANT/19521/34925,,Glovo,2019-10-13,2019-10-13 06:05:53,,Postres 
